date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:01	12660/12660	---M--	200	added ('OK')	image/jpeg	etag:%2212a28fd-3174-530e9982aac80%22	http://www.niyati.com/images/ecommerce-website.jpg	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecommerce-website.jpg	(from http://www.niyati.com/)
19:08:02	9968/9968	---M--	200	added ('OK')	image/jpeg	etag:%2212a28fc-26f0-530e99839eec0%22	http://www.niyati.com/images/corporate-web-design.jpg	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/corporate-web-design.jpg	(from http://www.niyati.com/)
19:08:03	9962/9962	---M--	200	added ('OK')	image/jpeg	etag:%2212a28fb-26ea-530e9982aac80%22	http://www.niyati.com/images/pledge-a-book-website.jpg	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/pledge-a-book-website.jpg	(from http://www.niyati.com/)
19:08:05	2487/2487	---M--	200	added ('OK')	image/gif	etag:%2212a18e3-9b7-50f6a91864880%22	http://www.niyati.com/images/icon-mail.gif	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/icon-mail.gif	(from http://www.niyati.com/)
19:08:09	34679/34679	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2013:38:03%20GMT	http://www.niyati.com/blog/2016/02/18/ecommerce-website/	C:/My%20Web%20Sites/Niyati/www.niyati.com/blog/2016/02/18/ecommerce-website/index.html	(from http://www.niyati.com/)
19:08:10	1791/1791	---M--	200	added ('OK')	image/png	etag:%2212a18e5-6ff-50f6a91c35180%22	http://www.niyati.com/images/icon-phone.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/icon-phone.png	(from http://www.niyati.com/)
19:08:11	2581/2581	---M--	200	added ('OK')	image/png	etag:%2212a18e6-a15-50f6a91e1d600%22	http://www.niyati.com/images/icon-skype.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/icon-skype.png	(from http://www.niyati.com/)
19:08:12	1508/1508	---M--	200	added ('OK')	image/png	etag:%2212a18e4-5e4-50f6a91a4cd00%22	http://www.niyati.com/images/icon-niyati.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/icon-niyati.png	(from http://www.niyati.com/)
19:08:14	36865/36865	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2013:38:04%20GMT	http://www.niyati.com/blog/2016/01/30/rebranding-the-corporate-website-of-workmytaxes/	C:/My%20Web%20Sites/Niyati/www.niyati.com/blog/2016/01/30/rebranding-the-corporate-website-of-workmytaxes/index.html	(from http://www.niyati.com/)
19:08:15	24800/24800	---M-Z	200	added ('OK')	text/html	etag:%2212a2ca6-60e0-53176893e0b80%22	http://www.niyati.com/sitemap.htm	C:/My%20Web%20Sites/Niyati/www.niyati.com/sitemap.html	(from http://www.niyati.com/)
19:08:20	34427/34427	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2013:38:05%20GMT	http://www.niyati.com/blog/2016/01/25/read-and-recycle-2/	C:/My%20Web%20Sites/Niyati/www.niyati.com/blog/2016/01/25/read-and-recycle-2/index.html	(from http://www.niyati.com/)
19:08:25	34653/34653	---MCZ	200	added ('OK')	application/javascript	etag:W/%22281cd50dd9f58c5550620fc148a7bc39%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.0/js/bootstrap.min.js	C:/My%20Web%20Sites/Niyati/maxcdn.bootstrapcdn.com/bootstrap/3.3.0/js/bootstrap.min.js	(from http://www.niyati.com/)
